Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
1,film,The Sound of Music,The Sound of Music,1965,,movie,174,"Biography,Drama,Family",tt0059742,8.1,293361,100.0,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,The Sound of Music,1,1,4015,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0059742/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
2,film,Titanic,Titanic,1997,,movie,194,"Drama,Romance",tt0120338,8.0,1404731,99.9995,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Titanic,1,2,3711,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0120338/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
3,film,Irma la Douce,Irma la Douce,1963,,movie,147,"Comedy,Romance",tt0057187,7.3,24383,99.999,high,NVPI Nederlandse bioscoopbezoekers,No direct NL signal; IMDb global popularity proxy,,0,3,3627,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0057187/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
4,film,Turks Fruit,Turks Fruit,1973,,movie,,,,,,99.9985,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,4,3338,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
5,film,Gone with the Wind,Gone with the Wind,1939,,movie,238,"Drama,Romance,War",tt0031381,8.2,357361,99.998,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Gejaagd door de wind,1,5,3145,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0031381/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
6,film,The Lion King,The Lion King,2019,,movie,118,"Adventure,Animation,Drama",tt6105098,6.8,293872,99.9975,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,De Leeuwenkoning,1,6,3080,,,,,,,,,,Disney,,,,high,Nederlandse bioscoop-top 50 (NVPI),curated studio mapping,,https://www.imdb.com/title/tt6105098/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
7,film,Guns of Navarone,Guns of Navarone,1961,,movie,,,,,,99.997,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,7,2986,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
8,film,The Lion King,The Lion King,1994,,movie,88,"Adventure,Animation,Drama",tt0110357,8.5,1270311,99.9965,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,The Lion King,1,8,2780,,,,,,,,,,Disney,,,,high,Nederlandse bioscoop-top 50 (NVPI),curated studio mapping,,https://www.imdb.com/title/tt0110357/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
9,film,Dr. Zhivago,Dr. Zhivago,1966,,movie,,,,,,99.996,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,9,2766,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
10,film,West Side Story,West Side Story,1961,,movie,153,"Crime,Drama,Musical",tt0055614,7.6,128346,99.9955,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,West Side Story,1,10,2710,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0055614/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
11,film,Fanfare,Fanfare,1958,,movie,,,,,,99.995,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,11,2637,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
12,film,The Bridge on the River Kwai,The Bridge on the River Kwai,1957,,movie,161,"Adventure,Drama,War",tt0050212,8.1,249799,99.9945,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,The Bridge on the River Kwai,1,12,2464,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0050212/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
13,film,Ciske de Rat,Ciske de Rat,1955,,movie,,,,,,99.994,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,13,2433,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
14,film,Grease,Grease,1978,,movie,110,"Comedy,Musical,Romance",tt0077631,7.2,328394,99.9935,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Grease,1,14,2429,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0077631/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
15,film,Wat zien ik!?,Wat zien ik!?,1971,,movie,,,,,,99.993,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,15,2359,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
16,film,Ben-Hur,Ben-Hur,1959,,movie,212,"Adventure,Drama",tt0052618,8.1,272428,99.9925,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Ben Hur,1,16,2352,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0052618/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
17,film,Blue Movie,Blue Movie,1971,,movie,,,,,,99.992,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,17,2335,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
18,film,Flodder,Flodder,1986,,movie,,,,,,99.9915,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,18,2314,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
19,film,Bohemian Rhapsody,Bohemian Rhapsody,2018,,movie,134,"Biography,Drama,Music",tt1727824,7.9,651615,99.991,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Bohemian Rhapsody,1,19,2287,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt1727824/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
20,film,Goldfinger,Goldfinger,1964,,movie,110,"Action,Adventure,Thriller",tt0058150,7.7,219086,99.9905,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Goldfinger,1,20,2274,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0058150/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
